,features,coef
176,DEK,0.0013948165870900195
177,MCL1,0.0013842798971463286
178,DDX10,0.0013783253984865362
179,CXCR4,0.0013764821543251616
180,MAK,0.0013745879776097944
181,MYST2,0.0013714374251903162
182,MBIP,0.0013700231158400393
183,TGFBR1,0.0013687099857476776
184,MAPK10,0.0013655784072004018
185,ABCC4,0.0013640412243404933
186,PIP5K1A,0.0013568151783096497
187,HOXA13,0.0013567657030974516
188,NF1,0.0013555554499025812
189,CDC42BPG,0.0013465513136461874
190,SMURF2,0.0013424187435180051
191,NFKBIA,0.0013293421970167942
192,MAP2K3,0.0013263118484153225
193,GAB1,0.0013190746815551378
194,STAC2,0.00131164502786174
195,CDKL2,0.001308033312437329
196,RUNX1T1,0.0013060425495033865
197,GPC3,0.0013039589434576386
198,SULF2,0.0013010975161192198
199,NOVA1,0.0012991460307967399
200,AFF3,0.0012917551362120654
201,GCK,0.0012905929776136098
202,TAF1L,0.001290332802048104
203,VHL,0.0012812909981434776
204,BRCA1,0.0012803934112681815
205,SNRK,0.0012733863480497926
206,SLC45A3,0.0012719190370473954
207,FASLG,0.0012610699652146693
208,DGKG,0.0012545281411422895
209,MAP3K3,0.0012544467110498368
210,DBN1,0.0012494129294194245
211,PRKD1,0.0012491273531232783
212,SLC22A15,0.0012426036953227604
213,RBL2,0.0012386988870751645
214,PIKFYVE,0.0012356746903915735
215,HECW1,0.001233226110886885
216,TP73,0.0012326631389520922
217,TRIP11,0.0012212113029581428
218,BUB1B,0.0012154337801972151
219,PMS1,0.0012139505524532094
220,MAPK8IP2,0.0012139130059995581
221,ERCC5,0.0012135580327102345
222,TPO,0.0012122155380867655
223,SUFU,0.001208118436295532
224,PHKG2,0.0012073383637932996
225,EPHB4,0.0012049866030326658
226,MRE11A,0.0012015575044818602
227,ABI1,0.001196703519227649
228,PIK3R1,0.0011954950851379895
229,ASTN1,0.0011877541496163994
230,CDK11B,0.0011752279539040732
231,RIPK4,0.0011653983599581878
232,TSC2,0.0011614494905399602
233,AFF4,0.001155290643848337
234,TPM3,0.0011503893753491317
235,CLK2,0.00114781968329892
236,PMS2,0.001144394820564685
237,BRIP1,0.0011436286075797281
238,TOP2B,0.0011435321553178632
239,ZNF217,0.001130340765862561
240,GPR141,0.001118898015073828
241,CASP10,0.0011182633395946156
242,PPP3CA,0.001111959134050332
243,CTTN,0.0011097194011475788
244,WNK3,0.0011095838697091037
245,FMN2,0.0011092987228119569
246,EPHA10,0.0011071169941777583
247,LDHA,0.0011065205494823025
248,KIAA1549,0.0011032598388339037
249,GSG2,0.0011023148491378187
250,CDK18,0.0010998078163058666
251,BLNK,0.0010993310903423328
252,RHOH,0.0010945296757043329
253,DAXX,0.001094177858505854
254,MFSD2A,0.00109180555206685
255,ZBTB16,0.0010891689846838544
256,DACH1,0.0010818711150666852
257,CIC,0.0010778531394943615
258,IL17RD,0.001077670641213301
259,BCL10,0.0010765316170098915
260,SRMS,0.0010753294963235381
261,RIF1,0.0010744136727098821
262,PKDCC,0.0010720148076157716
263,ETV1,0.0010645621778722389
264,ULK4,0.0010603701446616736
265,PDGFB,0.001060139504169904
266,FUS,0.0010562881281524484
267,CDC42,0.0010534158341355174
268,HOXD11,0.0010523514712814798
269,GRIK1,0.0010462967336857783
270,ITGA10,0.0010423240551425956
271,SGK223,0.0010405931146942376
272,TNFRSF1B,0.0010343046700820335
273,VCPIP1,0.0010337084839560206
274,IGFBP5,0.0010334424252465028
275,EPHA6,0.0010327511883384665
276,ULK2,0.0010313131903342413
277,EIF4A2,0.00102906644180797
278,RASGRF2,0.0010263455581356069
279,SGK494,0.001024523858714679
280,EIF4A1,0.001023629381965371
281,TFE3,0.0010223687880820548
282,TAB2,0.0010220296716015754
283,STK31,0.0010170338027565401
284,SP140,0.0010148165613795578
285,RYK,0.001013333432473976
286,MARK3,0.00101265306111839
287,CLPTM1L,0.0010058768426888635
288,SGK3,0.0010057148468253004
289,RPTOR,0.0010050497025782261
290,MTOR,0.0010050209199930398
291,PAPPA,0.0010005140202563574
292,LCP1,0.0010002247420014634
293,EIF3A,0.0009998737245984878
294,RAP1GDS1,0.0009977717977501085
295,N4BP2,0.0009911551052475117
296,ELF4,0.0009830620597306879
297,CSMD3,0.0009810517218241121
298,ADCK1,0.0009774012757820644
299,JAK3,0.0009773562181836413
300,SMAD2,0.0009692251353864601
301,GRB2,0.0009687529469840921
302,CDX2,0.0009678978495854326
303,EPHA8,0.0009672631914369491
304,BMX,0.0009613029849812331
305,PIP4K2B,0.00095558035355699
306,GOPC,0.0009551739152289095
307,NUP98,0.0009493308605042694
308,IDH1,0.0009451113285525078
309,STK10,0.0009416899057243147
310,IKZF3,0.0009376664698286035
311,DDX1,0.0009251248864627329
312,RPS6KA4,0.0009193525834439054
313,AXIN1,0.0009162273539663275
314,LPP,0.0009133467355569809
315,IL21R,0.0009086543118417902
316,PTEN,0.0009005904734986084
317,MYCL1,0.0008961671228169966
318,BAI3,0.000894425323443021
319,TNNI3K,0.0008940081608198725
320,MAPK14,0.0008905457258997298
321,STK4,0.0008897274025216283
322,RASA1,0.000889616835329014
323,MAP4K4,0.0008885262178508577
324,GNAQ,0.0008843189431285796
325,MATK,0.0008777463518745189
326,TCF3,0.0008753177998681507
327,CYCS,0.0008749684657524635
328,ITGB8,0.000874586669506368
329,TTK,0.0008743713372864734
330,CD40LG,0.0008696365735883301
331,MERTK,0.000868924050642096
332,LNX2,0.0008579277738130212
333,CACNA1F,0.0008557859753991063
334,TET1,0.0008551065015083868
335,CSNK1A1L,0.0008502781847645443
336,WBP4,0.0008496161690352087
337,SPEN,0.0008478540639499202
338,FANCF,0.0008430359606422099
339,CDK10,0.0008360627248290584
340,ZNF384,0.0008313113173291016
341,MYLK,0.0008297915025054935
342,AMZ2,0.0008229027771363962
343,MLLT3,0.0008173159493907524
344,TUFT1,0.0008153878305537806
345,PLK4,0.0008147507166202027
346,AR,0.0008131703743410953
347,ATF2,0.0008101510730273575
348,OMD,0.0008085285744332277
349,CYLD,0.000805214178799117
350,BMP2K,0.0008045141302785123
351,MCM3AP,0.0008042404100039306
352,FGFR4,0.0008016209460464174
353,GRK6,0.0007995032027089913
354,FCGR2B,0.0007981142918418358
355,DICER1,0.0007957354356420942
356,PREX2,0.0007948904999412291
357,JAK2,0.0007940930348482535
358,CASP4,0.0007906219416658804
359,RFC4,0.0007853926818791419
360,TRIB1,0.0007849990293875042
361,LMTK2,0.0007801190261440801
362,BCL2L1,0.0007771669324469119
363,FCRL4,0.000770434135151088
364,SIX4,0.0007681910551284694
365,PIK3CB,0.00076566963561598
366,ACSL6,0.0007643762034719218
367,FMO4,0.0007626709469987471
368,FHIT,0.0007601481296898358
369,CDK11A,0.0007559387548172655
370,MYH9,0.0007541797144059824
371,SCYL1,0.0007539614585986981
372,EPHB6,0.0007510433044559317
373,MKNK1,0.0007442253445731056
374,MELK,0.0007438140237316954
375,BIRC3,0.0007435412250511217
376,FOXO1,0.0007425703411395538
377,CHD9,0.000742248550191569
378,TAL2,0.0007420009854402622
379,PIM3,0.0007420009854402617
380,MFSD4,0.0007411067479532554
381,KDSR,0.0007327238463383052
382,RPS6KC1,0.0007326386385562792
383,NOTCH4,0.000730459467019798
384,CCL4,0.0007298594651294946
385,ALDH7A1,0.0007273978881698752
386,PER1,0.0007251907374783277
387,NEK6,0.0007222654255608541
388,SOX11,0.0007186067542642519
389,NEK11,0.0007178923876414214
390,ERLIN2,0.0007176333410940735
391,CD44,0.0007166960798196611
392,LRRC7,0.0007150664540342023
393,TGFB2,0.0007096992481324168
394,CDK5,0.000707228964703996
395,SBK2,0.0007064073972377001
396,ODZ1,0.0007057579207903917
397,TLR9,0.0007035889953930439
398,LAMP1,0.0007018866287997281
399,KDM6A,0.0007012107919985004
400,CCNB1IP1,0.0006971760612033348
401,SCYL2,0.0006931675614753794
402,ITGB4,0.0006907494898578339
403,HIST1H4I,0.000689884830118508
404,PSENEN,0.0006898848301185078
405,MN1,0.0006894401326741486
406,SHH,0.0006880336727974952
407,NEK10,0.0006879014023191887
408,BLK,0.0006832260979030316
409,CDK9,0.0006822840659212702
410,FASN,0.0006817479743723475
411,CDKN2C,0.0006816177630267521
412,CDK20,0.000677641027059164
413,SLC14A1,0.0006740544892351715
414,PAWR,0.0006707568398107851
415,ACVRL1,0.0006645866538795643
416,CCR5,0.0006644371883421643
417,CAMK1G,0.0006630463452450188
418,CAMKK2,0.0006624036875785605
419,GUCY2D,0.0006605527328637885
420,BRD4,0.0006598342866962425
421,BRSK1,0.0006579625996033951
422,AXIN2,0.0006578766748217527
423,PSEN2,0.0006560697857061831
