,features,coef
3158,GDPD2,3.330225868090893e-05
3159,TIMD4,3.329599978411071e-05
3160,FOXE3,3.327461402359203e-05
3161,CD3G,3.326838872157533e-05
3162,SYVN1,3.325953113297752e-05
3163,CCDC62,3.3247423904454726e-05
3164,GIT1,3.321141319499005e-05
3165,ZNF252P,3.319285351258412e-05
3166,KRT25,3.31891279696321e-05
3167,SP140,3.318737168510371e-05
3168,SNX9,3.3177056346385454e-05
3169,TMEM132C,3.316547639988131e-05
3170,RP4-717I23.3,3.3163564298281646e-05
3171,ATF7IP,3.316162103389673e-05
3172,ARMC12,3.3156789413644797e-05
3173,CUL5,3.315544635995141e-05
3174,RALY,3.315177328088969e-05
3175,OR1D2,3.3146835154380694e-05
3176,VPREB1,3.314116275885146e-05
3177,SETD3,3.312006701551763e-05
3178,EPHB4,3.311646656319574e-05
3179,CHST8,3.311518934879491e-05
3180,CTB-109A12.1,3.311260241732407e-05
3181,ITGAD,3.3109989097799796e-05
3182,LINC00665,3.310251758867634e-05
3183,DYNLL1,3.310216625623985e-05
3184,HTR3B,3.3101815121050796e-05
3185,CD84,3.309842024692992e-05
3186,CDC20,3.307545380806405e-05
3187,CDH8,3.3075021462867925e-05
3188,ADAMTSL3,3.3065463695911674e-05
3189,RBMS3,3.3059763686388124e-05
3190,WFDC10B,3.305607493434284e-05
3191,KLHL36,3.304755137978384e-05
3192,WNT4,3.302748852062643e-05
3193,RP11-535A19.2,3.302493968594535e-05
3194,ITGA2B,3.302127954911434e-05
3195,ANO2,3.3017172205092836e-05
3196,AMACR,3.300445734241019e-05
3197,ZCCHC5,3.300336950093525e-05
3198,TIAM1,3.29991362569856e-05
3199,SAP30,3.2998585338698143e-05
3200,TSEN34,3.299340242260683e-05
3201,C16orf91,3.298206910282508e-05
3202,RP11-253E3.3,3.296218840895527e-05
3203,FIG4,3.2959327486222196e-05
3204,MTSS1L,3.294045174629892e-05
3205,MVP,3.293823465529887e-05
3206,CSPG4P5,3.293486899342388e-05
3207,SIGLECL1,3.293430463439512e-05
3208,ZNF271,3.2913149429727206e-05
3209,FAM69A,3.290874574097283e-05
3210,SPATA31D1,3.289685996669839e-05
3211,FUS,3.2896454908909456e-05
3212,RP13-614K11.2,3.289546080019802e-05
3213,KRT8P11,3.2884609018088e-05
3214,NDUFA1,3.286067972026761e-05
3215,ZNF707,3.284776677602487e-05
3216,GOLGB1,3.282916741205116e-05
3217,C14orf23,3.282269824955132e-05
3218,IFIT2,3.280329090172726e-05
3219,AC009133.15,3.27993396528245e-05
3220,EPHA2,3.277450483774649e-05
3221,BRIX1,3.276685395744997e-05
3222,AMPD2,3.275839914549538e-05
3223,TEX30,3.2746304171875785e-05
3224,CYP1B1-AS1,3.2740085805997746e-05
3225,GALNT10,3.272682640391742e-05
3226,RP11-715J22.2,3.271747423852302e-05
3227,TMEM79,3.2707902235852365e-05
3228,TMCC1,3.2701586186984956e-05
3229,DNAH2,3.268813802055119e-05
3230,ATP5G1,3.266699475105441e-05
3231,C1orf95,3.266182965339742e-05
3232,ADRBK2,3.265451983922101e-05
3233,RP5-1129J21.3,3.265224067895247e-05
3234,NOX1,3.265102491750514e-05
3235,MT-ND2,3.263905058911181e-05
3236,KIRREL3,3.2623704174918526e-05
3237,KCNK10,3.261929592466703e-05
3238,BPIFB1,3.26171314504447e-05
3239,ARMCX2,3.259508063952093e-05
3240,CEP72,3.258765022305599e-05
3241,ANXA2,3.257888469611018e-05
3242,ILF2,3.2578229101096735e-05
3243,VSTM4,3.257504108384944e-05
3244,C1orf213,3.257223426898545e-05
3245,SLA2,3.257217315536428e-05
3246,UBA1,3.256439121442294e-05
3247,CSH2,3.254546548586441e-05
3248,CCDC159,3.2544665515383564e-05
3249,C2orf16,3.253889083584489e-05
3250,PLA2G5,3.253804627854201e-05
3251,BMP3,3.252406814615447e-05
3252,PHF15,3.2511700296359585e-05
3253,C2orf76,3.249606052417968e-05
3254,BARX2,3.2494323359605115e-05
3255,SPR,3.249275367696168e-05
3256,TP53BP1,3.248923428085526e-05
3257,MGAT4B,3.2465709566614695e-05
3258,TTC33,3.24574163431529e-05
3259,SMAP1,3.245642271624542e-05
3260,CELA3B,3.244590065261909e-05
3261,ZC2HC1C,3.243721496888804e-05
3262,ANKIB1,3.242694873286143e-05
3263,TEX38,3.2414545272296884e-05
3264,SHC2,3.241059719722106e-05
3265,SEPT12,3.239860051955269e-05
3266,ZBTB10,3.238235903315882e-05
3267,PTGDS,3.237398424672584e-05
3268,PTPRT,3.236918474996683e-05
3269,SLC30A4,3.236856673898569e-05
3270,VIT,3.235443556536381e-05
3271,HSPB3,3.234667109343775e-05
3272,MOB1B,3.234417472299973e-05
3273,ERCC6L,3.231225976342443e-05
3274,DGAT1,3.230760433502289e-05
3275,STAMBP,3.229879394677126e-05
3276,SSPN,3.229629008291601e-05
3277,C5orf27,3.2294702480748674e-05
3278,SRSF12,3.228751367044758e-05
3279,ZSCAN4,3.2281427413533756e-05
3280,DIO1,3.227162331178217e-05
3281,MPPED2,3.226916934319273e-05
3282,LINC00652,3.226026376466038e-05
3283,RP11-395B7.4,3.225734730521021e-05
3284,METTL12,3.225652456969443e-05
3285,HSD17B12,3.223501528256375e-05
3286,CCDC15,3.2227941637771813e-05
3287,ARHGAP1,3.222583334887817e-05
3288,GPRIN1,3.2221606084281526e-05
3289,AC103563.8,3.22161060887798e-05
3290,CD2,3.2202941156314254e-05
3291,ARHGEF37,3.219071287622942e-05
3292,FMO4,3.217149529161732e-05
3293,ZFYVE21,3.216357541762123e-05
3294,MAP4K2,3.215981546329475e-05
3295,CALR,3.212795457989239e-05
3296,PPIL1,3.2119142161250676e-05
3297,POU5F1P3,3.211814156662839e-05
3298,AIP,3.211776096730046e-05
3299,UBQLN2,3.210645283573997e-05
3300,DENND5A,3.210238448637769e-05
3301,TMCO3,3.2100168771730784e-05
3302,HECTD4,3.2074378354578026e-05
3303,FADD,3.206752794616277e-05
3304,CD276,3.205838139283719e-05
3305,EPB41L4A,3.2036975113358226e-05
3306,AC005789.11,3.202737811957924e-05
3307,ACD,3.202093430804995e-05
3308,MCRS1,3.2000422265078025e-05
3309,NDUFA2,3.1990020534061075e-05
3310,CLDN23,3.198331850774021e-05
3311,RNF112,3.198194280150275e-05
3312,EXOSC1,3.196659417805339e-05
3313,NUDT16L1,3.19426631300384e-05
3314,SCRN2,3.1937214162179455e-05
3315,CRY2,3.193031384735591e-05
3316,CMC2,3.192964239589029e-05
3317,PRDM13,3.1929220568002534e-05
3318,MINA,3.1921586622953706e-05
3319,C1orf35,3.190845300323827e-05
3320,BBS9,3.1900116960313765e-05
3321,TFAP2A,3.1861705054533716e-05
3322,DIAPH2-AS1,3.186132010885143e-05
3323,C1orf63,3.185987656302667e-05
3324,GKN1,3.1855868675586906e-05
3325,AIG1,3.185345294360172e-05
3326,LAMC3,3.183390545907759e-05
3327,FRS2,3.182049110939748e-05
3328,FAM122B,3.1820071388283445e-05
3329,TRIM67,3.1816601397327644e-05
3330,PHF1,3.181554650099497e-05
3331,AC006116.20,3.181453983853312e-05
3332,VSTM2A,3.180077377725091e-05
3333,AC008394.1,3.178998834440334e-05
